cid,programTitle,campus,interests,bio,namSorGender.likelyGender,namSorCountry.country,namSorCountry.countryAlt,namSorCountry.region,namSorCountry.subRegion,isoCode.Country,isoCode.countryAlt
56,Bachelor of Business Administration,Boston,"Hi! My name is   and I am from Brazil. I love fashion, marketing, and travel! Let's chat.","Hello everyone! My name is  and I am an undergraduate student at Hult International Business school originally from Brazil. There, I studied until my sophomore year in high school. At that point in my life, I decided that I wanted to have the best education opportunity that I could get, with that, I left my country alone decided to make a difference. I went to a boarding school in the United States where I graduated high school, got the opportunities for being a school Tour Guide, and got a student of the year award. I speak Portuguese, English, and understand a lot of Spanish. I have a passion for learning about new cultures, relations between countries when it comes to business, and a desire to be different and make a change in the world. Unfortunately due to the pandemic, I didn't have the chance to go to campus yet, but I am excited for all the experience that I will get once I'm able to go to campus. You can ask me for any help, advice, and information. Let's chat!!",female,PT,BR,Europe,Southern Europe,Portugal,Brazil
57,Master of International Business,London,"Hey everyone! I am of Irish and Turkish origin but also born in London, making me a native to three cultures. I love to travel and explore, including experiencing different cultures as well as the delicious cuisines they may offer.","Hey everyone!! My name is and  I am of Irish and Turkish origin but I'm also born in London making me a native to three cultures. I love to travel and explore, including experiencing different cultures as well as the delicious cuisine they may offer. I am passionate about fitness sport. 

I'm currently based on the London campus of HULT with plans to do a dual degree in San Francisco as making my enrolment experience very cultural through the different enrolment perspectives I will experience. The reason why Hult stands out to me is that Hult is incredibly inspirational as they are focused on creating a diverse and inclusive environment. 

Overall, I'm very proud to be at Hult and will ensure that Hult is represented in a positive way creating good experiences for those currently as well as those to come.",male,IE,CA,Europe,Northern Europe,Ireland,Canada
58,Master of Business Analytics,San Francisco,"I'm German and my interests are: corporate strategy, business development, global economic development, sustainability, and disruptive business models.","I have just recently moved from Heidelberg, Germany, to Boston, US, to pursue my Masters in International Business at Hult. Besides studying in the world capital of higher education, I am still active as a stakeholder advisor, supporting former teammates at CURE Mannheim, a student-run electric race car project. To broaden my horizons, experience true culture clash, and expand my knowledge in working in multicultural teams, I chose Hult. I have completed my bachelors degree doing a cooperative education program back in Germany at the Cooperative State University (DHBW) Mannheim with Deutsche Bahn AG. I was able to gain professional insights into the corporate world in departments such as sales, controlling, maintenance, pricing, and development or service design across Germany and the UK.",male,DE,AT,Europe,Western Europe,Germany,Austria
59,Bachelor of Business Administration,London,"Hey! My name is  and I'm a social media ambassador. I have studied at the Boston and London campuses so far and love music, movies, traveling, and cooking. I'm looking forward to talking to you!","""Hello! 
My name is  and I'm originally from a small town in Bavaria, Germany. I'm currently a member of several clubs at Hult and back in Highschool I even got the chance to found my own student business with some fellow students. I have worked a waitress, barkeeper, production helper, and office assistant. Here at Hult, I was able to win two life client challenges with my groups and I am truly thankful for all the experience I gained. 
The main reason why I came to Hult is because of the international environment. I'm a really open-minded person and love discovering new things and getting to know new people. Ever since I came to Hult I have grown up so much and developed as a person, despite (or maybe because) of many difficulties I had to face. 
I'm a little bit of an organizing freak, and I love movie franchises like StarWars or Harry Potter :) I'm also really passionate about all kinds of music (especially Musicals, Rock, and 70s-80s). My spirit animal is the koala although I am really ambitious, it is what it is. 
If you need any input when it comes to long-distance relationships or mental health, I'm your guy! But I'm really open to all kind of questions :)
I would love to get to know and chat with you!""",female,CH,AT,Europe,Western Europe,Switzerland,Austria
60,Master of International Business,London,"Hi! I'm , originally from Austria, doing the Masters in International Business at Hult London. I use every spare minute to follow my passions for sustainability and innovation and am learning more about the exciting business world every day.","Hi! I'm  from Austria and came to Hult London in September 2020 where I'm now juggling club meetings, teamwork, London life in the times of a pandemic, and my job as a freelance web designer. I'm strongly passionate about sustainability and innovation and enjoy outdoor sports and making music. Hope to meet you soon to have a chat :)",female,AT,SK,Europe,Western Europe,Austria,Slovakia
61,Bachelor of Business Administration,London,"Hi there! My name is  and I'm Finnish/Norwegian. Apart from being passionate about food and traveling, I like to try new and exciting things.","I am pursuing a major in Entrepreneurship and so far, doing it at HULT  has been the best experience in my life. Before HULT, I was focused on creative subjects such as film production, graphic design, and fashion. However, when I had to do the decision to apply for schools, only one was in my mind - Business. A secret passion of mine, which has become reality. 

Today, I am an active member of multiple clubs which has made the whole HULT experience golden. Not to mention how exposed I have been to diverse communities, and how they have helped me grow not only personally as well as professionally. 

When HULT accepted me to their school I was filled with joy. At the same time, I was scared and I felt clueless. This is why we are here! To help you to answer all questions you might have about student life, London as a city to live in or any questions about HULT.",female,FI,EE,Europe,Northern Europe,Finland,Estonia
62,Master of International Business,Dubai,"Hi, my name is , like . I am from France, but I was born in Ivory Coast, and I grew up in Italy. I am passionate about fashion and taking pictures, but what I love the most is traveling. I consider myself a very dynamic person who loves life","Hello everyone! My name is , from France and originated from Ivory Coast. 
I decided to apply for a Master's degree in International Business at Hult because I aspire to become a businesswoman. I am passionate about fashion. I had the opportunity to work in the Italian textile industry. I believe that Hult is an opportunity to expand my connections and give me limitless learning. Hult students have different backgrounds, which will help me know more about other cultures and get to know people without prejudice. Everyone is amicable, and they made me feel welcome so quickly, so I found myself a second home at the end of the day.",female,CI,FR,Africa,Western Africa,Cote d'Ivoire,France
63,Master of Business Analytics,Boston,"Hi! My name is  and I'm from California. I love cooking, dancing, and trying new skincare products. I am proficient in Gujarati and understand Hindi. I am passionate about fashion, beauty, marketing, and traveling.","I'm a student at Hult, and I specialized in International Business and now pursuing M.S in Business Analytics. I wanted to get involved within the  Hult community, so I joined to be a global ambassador. Hult has been the best decision for my future and where I plan to see myself in the next 3-5 years. The program has allowed me to get out of my comfort zone and push myself to strive for the best. Plus, my teammates have always been supportive and encouraging in the decisions I have made.  During my professional journey, I have leveraged several skills in various facets, including Consulting, Customer Service, and Design skills. Hult couldn't have been a better place to enhance those skills and gain more. Hult's professors steered me in the direction to find my passion toward exploring career opportunities within Brand Management, Marketing, Project Management.",male,IN,MU,Asia,Southern Asia,India,Mauritius
64,Master of Business Administration,Dubai,"Hi, my name is . I am from Japan and grew up in the US.","Hello, my name is. I was born in Japan and grew up in the United States. I am currently enrolled in the Global MBA program and plan to do a dual degree in Master in Finance.  I have worked in multinational IT companies in sales before pursuing my MBA. I like to travel and play soccer.",male,JP,IL,Asia,Eastern Asia,Japan,Israel
65,Bachelor of Business Administration,Boston,"I am Chinese and my interests are in the creative industries, sustainability, food, dancing, and psychology.",Born in the Dominican Republic with a Chinese background. I have a passion for the fashion and beauty industry in association with sustainability. Currently studying at Hult and majoring in marketing to achieve my dreams. I am involved in many student-led activities around the campus so you will see me quite often.,female,CN,TW,Asia,Eastern Asia,China,"Taiwan, Province of China"
66,Bachelor of Business Administration,Boston,"Hi! My name is , and I am a freshman student from the Dominican Republic. I'm passionate about business, helping my community,  social impact, spending quality time, and creating memories.","""Hi! My name is , and I am from the Dominican Republic, currently doing a Bachelor of Business Administration. My interests include business, sustainability, social causes, volunteering, and learning. I enjoy spending quality time with my family, dog, and loved ones, traveling, baking, listening to music, and living in the moment. Hult is a unique university in the business world, preparing the leaders of the 21st century by training students in excellence and having students learn business by doing it. My goal in everything I do is to do it with love and contribute to the world and society today. With Hult, I look forward to building a foundation, gaining a global mindset, and being prepared and experienced to transform tomorrow's world and business.",female,PE,MX,Latin America and the Caribbean,South America,Peru,Mexico
67,Master of Business Administration,Dubai,"Hello! My name is , and I am from India. I am a happy-go-lucky woman who loves good food, strong coffee, beautiful ambiance, and soothing music. I like to interact with people, feel free to contact me. Stay safe!","Hello, my name is . I am from India. 
The year 2020 has been so strange for all of us, each day brought us a different experience and I find myself fortunate enough to pursue Global MBA with Hult amidst all the unfortunate Covid times.
It was tough to leave your ongoing job during this time but this is life- unexpected and unpredictable. I chose Hult because its diverse culture makes us confident and every day is a new experience and learning for us. The faculty here is so friendly and cooperative. The school is helping me to grow and become an effective leader. 
I come from a telecom engineering background, management studies is totally new for me but the faculty in Hult is guiding me very well to go through all my studies smoothly.
If you have any doubts regarding whether you should choose Hult or not, how it is to switch careers after engineering to a managerial role, feel free to contact me.",male,IN,ID,Asia,Southern Asia,India,Indonesia
68,Bachelor of Business Administration,London,"Hey! My name is  and I am an 18-year-old girl from Germany, Dusseldorf. I am passionate about art, traveling, and fashion. :)","Hello everyone! 
My name is  and I am from Dusseldorf, Germany.
 I am part of three clubs here at Hult, the SES, MUN and co-founder of the Hult Poker Club. I am currently staying at Chapter Aldgate in London, so if you have any questions about the accommodation feel free to ask me :)
I am passionate about art, traveling, and fashion. 
Hult was the university I choose because I deeply believe that Hult represents all the values I was looking for in a university.  I am a first-year student and although the coronavirus has severely impacted our lives, Hult has managed to give me an enormous first months experience.  Through the diverse Hult community,  I have met so many new friends from around the globe, whether it was virtual or personal and I am so thankful for those experiences and excited for what is about to come.",female,AT,CH,Europe,Western Europe,Austria,Switzerland
69,Master of Business Administration,London,"Hello! I'm  and I'm from the Philippines. I'm passionate about photography, music, and most importantly my club, empowerHer.  Feel free to reach out!","Hello! I'm  and I'm from The Philippines. I'm currently a full-time MBA student at Hult International Business School, based in the London campus. Prior to joining Hult, I have six years of work experience in the travel, technology, and hospitality industries. Aside from representing the school as a global blog ambassador, I am currently running a club with five other women called, 'empowerHer' that currently has 100+ members and growing! During my free time, I enjoy being active by going to wall climbing gyms or going for a run around the city. I love experimenting in the kitchen trying out new recipes. Also, I enjoy photography and would like to take this hobby to the next level! Feel free to reach out to me if you want to know more about how life is like as a Hult student in London!",female,PH,FR,Asia,South-Eastern Asia,Philippines,France
70,Master of International Business,Dubai,"Hi, my name is  from Naples, Italy. I have a background in economics and finance. Love doing sport, especially horse riding, and traveling around the world. 🌎","Hello fellow! My name is  from  naples in Italy.  A city in the south of Italy. I'm  the president of the finance club and also a member of other here in Hult Dubai. I did my bachelor in Italy in Economics and Finance then I decide to move out from my comfort zone and start this incredible journey  with Hult. Actually  I think that I made the right choice since I'm  having one of best experience of my life  thanks to Hult . The  people in Dubai are very kind also my  colleagues too, the entire Hult community helps a lot  to feel like a new home and make you confortable with the new environment  and encourage you to improve a lot doesn't  matter your background.",male,AR,ES,Latin America and the Caribbean,South America,Argentina,Spain
71,Master of International Business,London,"Hello! I am  and I am from Italy. I am passionate about soccer, music, and travel. I like to make people laugh and I like to surround myself with positive people to build great memories with! Let's chat soon!","Hello everyone! I am  and I am from Italy! I am part of MIB program. Before coming here I got a Master's Degree in Law in Italy . I chose Hult because I was looking for a degree that could expand my skills and give me the opportunity to enter the business world through an international approach. This school pushes you to embrace change and  pushes you to overcome your limits by leaving the so-called comfort zone! A healthy environment that has helped me to grow and taught me how to think as a leader, but at the same time to work in a team. Contact me! I will be happy to help you solve your doubts and make you understand how important it is not to get stuck by your fears and undertake such an important experience!",male,IT,AR,Europe,Southern Europe,Italy,Argentina
72,Master of International Business,Dubai,"Hello, I'm  from Nigeria! I'm a Masters in International Business student with a communications background. Feel free to talk to me about anything ranging from the student learning experience at Hult to what the non-academic side of things is like.","Hello there! My name is . I'm originally a Comms girl, who recently found a passion for Marketing and Business Development. Coming to Hult has been an all-around amazing experience for me. Being in highly insightful classrooms full of people from all around the world and with different backgrounds, I've learned so much more than I could have envisaged. I can confidently say that coming to Hult was definitely the right choice for me, and I'd love to answer any questions you have about Hult. Absolutely nothing is ridiculous or silly, so whether you want to know about the assignment structure or maybe even the way online classes work, I'm more than happy to help!",female,NG,KE,Africa,Western Africa,Nigeria,Kenya
73,Master of International Business,Boston,"Hello! My name is  and I am from Mexico. I am passionate about consumer experience, project management, and making things happen. I am currently the president of the Business and Current Affairs club at the Boston campus. Let's chat soon!","Hello everyone! My name is  and I am from Mexico. I am the president of the Business and Current Affairs Club at Boston Campus. Hult has been an incredible experience for me. I have acquired new skills that will help me be more competitive in the professional market. I have also grown as a person. Hult can help me develop soft skills that no job can offer. Right now, many companies are focusing on diversity and inclusion. Hult helps you develop for that by meeting and working with students from all over the world! I can say that Hult is preparing me for the future.",female,ES,MX,Europe,Southern Europe,Spain,Mexico
74,Executive MBA,Dubai,"I'm Egyptian and my interests are leading with personal impact, global leadership, international marketing, sales and business models, business development, international trade.","I'm from Egypt but I currently reside in Dubai.  I have more than 15 years of Sales/International Trade/Business development/Marketing experience. I've held multiple regional managerial roles working with different cultures in diverse industries like telecommunication, security, consumer goods, and home domestic appliances. I currently work for Electrolux as the Head of Sales for the Middle East Region. I'm a proud father of two and I'm currently pursuing m EMBA program at the Hult Dubai campus.",male,DZ,TN,Africa,Northern Africa,Algeria,Tunisia
75,Master of Finance,Boston,"I am Indian and my interests are: The stock markets, volunteer/community work, food, travel and exploring, and music.","""Keep your eyes on the stars and your feet on the ground."" This has kept me going strong and brought me to where I stand today. I'm originally from India, where I was working as a Risk Analyst for KPMG. I have a bachelors in financial markets and a masters in business management. I'm pursuing my Masters in International Business and Finance here at Hult Boston. I believe in interacting with new people and making new friends because that constantly adds to your knowledge and, of course, friendship circle! Hult Boston is a stunning campus and truly a world of its own with students from around the globe. It's fascinating to have people from different parts of the world and share a class with them while learning about their culture. I want others to be able to see the world and meet new people and go to places they never would've thought they'd end up going to. I feel so lucky to have had this opportunity and represent such an esteemed school as Hult.",male,IN,MU,Asia,Southern Asia,India,Mauritius
76,Master of Business Administration,Dubai,"Hi! My name is  and I'm from India. I'm passionate about marketing, entrepreneurship, and travel. Let's chat soon!","Hi Everyone! My name is  and I'm from India. I'm a sales and marketing professional with approx 5 years of international work experience in India and West Africa. With diverse stints at companies like Nivea, Kellogg's, and Cognizant, I gained exposure to diverse business functions and geographies.  The global MBA program at Hult has been a wonderful step towards my goal to be able to emerge as a global corporate professional. The diverse student body, world-class faculty, and a triple-accredited program make Hult one of the top and most desirable business schools in the world.  The school helped me to grow both personally and professionally, where I get a chance to network with students across the global campuses of Hult, and also to connect with alumni working in top companies at senior positions. Being a global ambassador and part of several clubs on campus, Hult has truly been a fantastic experience for me.",male,IN,BD,Asia,Southern Asia,India,Bangladesh
77,Bachelor of Business Administration,Boston,"Hi there! My name is  and I'm half-Brazilian, half-Dominican. My passions include gender equality, music, and working out. I also love networking and building relationships, so feel free to reach out at any time!","Hello everyone! My name is  and I'm half Brazilian half Dominican. I'm majoring in Management with a minor in Economics and have a strong interest in social entrepreneurship and gender inequality. I'm part of clubs like Women in Business and Volunteering Club. For me, coming to Hult was the best decision I have ever made. It is amazing to see people from 20 different nationalities in every class I take. In addition, it is great to see how many of the concepts learned in class you can apply to the real world. Feel free to reach out if you have any questions about classes, professors, balancing school with personal life and relationships overall!",female,BR,PT,Latin America and the Caribbean,South America,Brazil,Portugal
78,Master of International Business,London,"Hi, I am  from the Philippines. I love discovering new things and meeting lots of people!","Hi! I am  and I am currently the London President of the global club, Business, and Current Affairs - Think Tank. I am an engineer inclined about sustainability. I love meeting people with different backgrounds since I learn a lot from stories coming from different perspectives. You can ask me about anything under the sun and listen to your stories as well.",female,ES,PH,Europe,Southern Europe,Spain,Philippines
79,Master of Business Analytics,Boston,"I am Chilean and my interests are marketing, entertainment, industry, film and TV, photography, and scuba diving.","My name is  but everyone calls me . I'm Chilean and my bachelors was in commercial engineering with business administration. I also have a diploma in management and executive production for film and television and a diploma in film studies. I truly believe that you never end learning. So, after more than 15 years working for multinationals, I decided to make a change, and came to Boston with my husband, my 5-year-old son, and my dog, to complete the MBA program at Hult. Im a goal-oriented person who loves to make synergy and contribute positively in and for my teams and organizations. I actively participated as a volunteer, and for two years I led the diversity & inclusion team at my work. I'm a super-curious person and I love challenges and adventures. When I'm not working or studying, you can catch me in the sea (I'm an advanced PADI scuba diver), looking for a new place to visit, taking and editing photos, and surely, reviewing all the new series or films!",female,CL,ES,Latin America and the Caribbean,South America,Chile,Spain
80,Master of International Business,Dubai,"Hi! My name is  and I'm half-Finnish, half-Bangladeshi, but I was born in the US and I've lived in the UK too. I'm passionate about sports, hospitality, and travel! Talk to you soon!","Hello everyone! My name is  and I'm half Finnish and half Bangladeshi. I was born in Dallas, Texas, and have lived in Bangladesh, Finland, and the UK. I'm currently doing my MSc in International Business in Dubai. I also did by BBA with Hult in London. At the moment I'm an HSA (student body representative), campus lead for the Hult Global Ambassador program, and the President of the TEDxHultDubai club here in Dubai. Personally, I've enjoyed my entire Hult experience thus far as I've been able to connect with and befriend people from all over the world whilst learning valuable practical lessons in business and life. In this sense, Hult is extremely unique due to its diverse community and the exposure you can great from rotation and the various business challenges. I look forward to connecting with you if you have any questions regarding Hult or if you simply want to get to know more about me! You can connect with me via Linkedin or Instagram @dariusfaris",male,ID,BD,Asia,South-Eastern Asia,Indonesia,Bangladesh
81,Bachelor of Business Administration,London,"My name is . I am a British Gambian, president of the UG Trading and Investing Club at Hult, and a man with a strong passion for investments. Favorite genres include non-fiction and biographies. Loves to learn, read, and write.","Hello everyone. My name is , and I am a British Gambian; the President of the Trading and Investing UG Club at Hult International Business School, and a man with a strong passion for investments. Favorite genres include non-fiction and biographies. I work part-time on the weekend as a Receptionist/Switchboard Operator at The Harley Street Clinic, HCA Healthcare UK. Apart from investments, I like learning new things, developing my skillset, exercising when I have the chance, reading, and spending time with my family. If you need to know about clubs and societies, finance, or about the best ways to improve yourself as a person you know who to ask.",male,GH,KE,Africa,Western Africa,Ghana,Kenya
82,Master of International Business,Dubai,"Hi, my name is I'm currently enrolled in the Masters in International Business in Dubai.","""Hello everyone! My name is and I am from Italy. 
Hult is turning out to be a great experience!
Through this, I can complete my personality especially because of diversity which represents the main reason why I decided to join Hult, it allows you to understand and learn from other cultures.
I couldn't have made a better choice!""",male,IT,ES,Europe,Southern Europe,Italy,Spain
83,Master of International Business,San Francisco,"Hi! I am  from Shanghai, China. I am passionate about sustainable strategy, management, and entrepreneurship!","Hi! I am  from Shanghai, China. I have founded and ran a national NGO, a startup company, and captained the national ultimate frisbee team while majoring in Mathematics and minoring in International Economics and Trades during my undergraduate. Coming to Hult, I am pursuing a dual Master's degree in San Francisco. (MIB with Finance specialization and MSBA) I love the immersive experience of cultural diversity and the spirit of entrepreneurship here at Hult. Supportive faculties, knowledgeable professors,  practical career advice, active student club activities, and much more that I can't wait to share with you!",male,CN,HK,Asia,Eastern Asia,China,Hong Kong
84,Master of International Business,London,Hi! I'm  from Italy. I love new adventures and situations that bring me out of my comfort zone. Let's chat soon!,"Hi everyone! I'm , and I'm from Italy. I'm on the board of two different clubs, Hult Consulting Club and EmpowerHer Club. 
Hult is an excellent experience for me, continually pushing me out of my comfort zone and let me grow up both as an individual and as a professional. Here I can challenge myself and learn things that I would not have known any elsewhere. 
The classes are a colossal melting pot of different cultures and habits, and this allowed me to understand something new every day. 
London is also one of the most important financial city, and the proximity of the university to the companies is an essential trampoline into the business world. 
No place is like Hult, and I would not change it with anything else.",female,IT,AR,Europe,Southern Europe,Italy,Argentina
85,Master of Business Administration,London,"Hi! My name is , I'm from Japan. I'm keen to talk about culture, food, and the future of business!","Hello guys, my name is, I am in charge of Hult video ambassador 2020 to 21, in London Campus!!. 

A little bit about myself, I was born in Japan, worked in Tokyo and Singapore in a tech-startup as a sales manager. My past working experiences were very challenging and exciting, worked with more than 10 different nationalities across the Asia Pacific.  

The reason I came to Hult MBA was that  I wanted to gain essential management skillsets such as emotional intelligence, diversity mindset, throughout hundreds of times of discussions with peers in a truly-diversified environment.  And I'm so excited to apply for the Hult Prize challenge! 
Also, I really wanted to have a living experience in such a cosmopolitan city!!

As a video ambassador role, I'm gonna be filming nice videos to show you guys our real life. For example, what's happening in the UK during the Covid time, how we are adjusting to the current situation, how other students are building a professional network, etc
I'm so excited to show you guys a lot of awesome stuff!!",male,JP,BR,Asia,Eastern Asia,Japan,Brazil