"date","GME.Open","GME.High","GME.Low","GME.Close","GME.Volume","GME.Adjusted"
2019-05-31,7.47,7.66,7.32,7.58,3983100,7.58
2019-06-03,7.58,7.65,7.42,7.47,5229100,7.47
2019-06-04,7.58,7.85,7.52,7.82,10430100,7.82
2019-06-05,5.49,5.59,4.71,5.04,39354200,5.04
2019-06-06,4.98,5.13,4.84,5.13,13558000,5.13
2019-06-07,5.13,5.23,4.99,5.02,10591300,5.02
2019-06-10,5.37,5.55,5.29,5.44,18926500,5.44
2019-06-11,5.53,5.85,5.49,5.72,13423800,5.72
2019-06-12,5.68,5.8,5.5,5.5,4914300,5.5
2019-06-13,5.55,5.73,5.49,5.7,5840800,5.7
2019-06-14,5.7,5.83,5.61,5.63,5304600,5.63
2019-06-17,5.63,5.81,5.6,5.7,3686500,5.7
2019-06-18,5.71,5.83,5.67,5.73,4070400,5.73
2019-06-19,5.75,5.75,5.61,5.63,2973300,5.63
2019-06-20,5.66,5.69,5.52,5.53,3933800,5.53
2019-06-21,5.52,5.52,5.31,5.42,8954300,5.42
2019-06-24,5.41,5.47,5.28,5.37,4823300,5.37
2019-06-25,5.34,5.53,5.32,5.45,3085400,5.45
2019-06-26,5.47,5.52,5.38,5.47,3551800,5.47
2019-06-27,5.46,5.59,5.43,5.54,3756000,5.54
2019-06-28,5.53,5.58,5.44,5.47,3896400,5.47
2019-07-01,5.53,5.57,5.34,5.36,4310800,5.36
2019-07-02,5.35,5.45,5.32,5.38,5643500,5.38
2019-07-03,5.41,5.43,5.27,5.31,2562100,5.31
2019-07-05,5.3,5.64,5.27,5.52,12894600,5.52
2019-07-08,5.5,5.53,5.42,5.45,6592700,5.45
2019-07-09,5.48,5.55,5.28,5.31,11721900,5.31
2019-07-10,5.35,5.37,5.17,5.18,10853300,5.18
2019-07-11,4.98,5.01,4.73,4.84,16778200,4.84
2019-07-12,4.86,4.93,4.81,4.91,4392200,4.91
2019-07-15,4.87,4.89,4.75,4.75,3068400,4.75
2019-07-16,4.76,4.81,4.63,4.63,5970000,4.63
2019-07-17,4.63,4.64,4.33,4.38,7643100,4.38
2019-07-18,4.39,4.42,4.12,4.2,8585700,4.2
2019-07-19,4.22,4.42,4.22,4.32,10946500,4.32
2019-07-22,4.33,4.4,4.12,4.14,5488700,4.14
2019-07-23,4.15,4.2,3.98,4.09,7703500,4.09
2019-07-24,4.08,4.2,4.05,4.08,6020600,4.08
2019-07-25,4.1,4.32,3.97,3.98,5790000,3.98
2019-07-26,4,4.08,3.96,4.01,3209000,4.01
2019-07-29,4.02,4.16,4.02,4.12,4327100,4.12
2019-07-30,4.1,4.13,3.9,4.03,5271400,4.03
2019-07-31,4.03,4.18,4,4.02,5208900,4.02
2019-08-01,4.02,4.06,3.78,3.84,5596500,3.84
2019-08-02,3.83,3.89,3.75,3.78,3594700,3.78
2019-08-05,3.72,3.75,3.58,3.71,5681800,3.71
2019-08-06,3.73,3.82,3.63,3.81,5157400,3.81
2019-08-07,3.74,3.85,3.66,3.81,5856100,3.81
2019-08-08,3.84,3.91,3.77,3.89,2306700,3.89
2019-08-09,3.83,3.86,3.59,3.59,3079400,3.59
2019-08-12,3.58,3.62,3.44,3.51,2677600,3.51
2019-08-13,3.48,3.76,3.47,3.47,4504500,3.47
2019-08-14,3.39,3.42,3.19,3.32,6081900,3.32
2019-08-15,3.32,3.41,3.15,3.21,5888400,3.21
2019-08-16,3.25,3.36,3.21,3.32,3130700,3.32
2019-08-19,3.37,3.47,3.34,3.38,2887500,3.38
2019-08-20,3.35,3.46,3.28,3.42,4260000,3.42
2019-08-21,3.5,3.62,3.44,3.54,5910900,3.54
2019-08-22,3.97,4.25,3.72,3.87,29177300,3.87
2019-08-23,3.84,3.9,3.56,3.65,8660900,3.65
2019-08-26,3.72,4.04,3.65,3.82,10319400,3.82
2019-08-27,3.87,3.93,3.68,3.7,5701000,3.7
2019-08-28,3.7,3.97,3.67,3.88,6439200,3.88
2019-08-29,3.93,4.29,3.75,4.23,13363500,4.23
2019-08-30,4.26,4.36,3.92,3.97,10634600,3.97
2019-09-03,3.97,4.07,3.66,3.81,9044400,3.81
2019-09-04,3.88,4,3.85,3.98,4227100,3.98
2019-09-05,4.08,4.24,4.07,4.23,6892000,4.23
2019-09-06,4.24,4.36,4.14,4.31,6701500,4.31
2019-09-09,4.35,4.92,4.35,4.76,14578800,4.76
2019-09-10,4.87,5.1,4.51,5.09,16659200,5.09
2019-09-11,4.19,4.95,3.97,4.59,34005000,4.59
2019-09-12,4.6,4.81,4.43,4.58,8908700,4.58
2019-09-13,4.62,4.77,4.37,4.41,7662200,4.41
2019-09-16,4.3,4.47,4.27,4.35,6761300,4.35
2019-09-17,4.3,4.34,4.13,4.33,6406000,4.33
2019-09-18,4.33,4.69,4.33,4.6,9796200,4.6
2019-09-19,4.64,4.67,4.42,4.44,7860300,4.44
2019-09-20,4.59,4.8,4.5,4.7,11603800,4.7
2019-09-23,4.68,5.2,4.61,5.02,12474000,5.02
2019-09-24,5.14,5.5,4.98,5.01,13097900,5.01
2019-09-25,5.09,5.55,5.08,5.2,12164300,5.2
2019-09-26,5.19,5.34,5.08,5.28,6080900,5.28
2019-09-27,5.25,5.45,5.22,5.34,5548500,5.34
2019-09-30,5.43,5.64,5.4,5.52,8919800,5.52
2019-10-01,5.64,5.82,5.49,5.58,6592400,5.58
2019-10-02,5.55,5.55,5.24,5.32,8154900,5.32
2019-10-03,5.3,5.48,5.23,5.42,4346700,5.42
2019-10-04,5.43,5.56,5.37,5.55,4213100,5.55
2019-10-07,5.48,5.58,5.41,5.49,4154800,5.49
2019-10-08,5.43,5.44,5.16,5.23,4823100,5.23
2019-10-09,5.25,5.3,4.96,4.99,5809600,4.99
2019-10-10,5.02,5.15,4.96,5.05,5228000,5.05
2019-10-11,5.14,5.49,5.14,5.37,5909200,5.37
2019-10-14,5.32,5.59,5.22,5.58,5273900,5.58
2019-10-15,5.6,5.91,5.59,5.61,6350900,5.61
2019-10-16,5.58,5.91,5.58,5.88,3868700,5.88
2019-10-17,5.89,6.05,5.8,6.03,3606600,6.03
2019-10-18,6.03,6.05,5.77,5.94,3197100,5.94
2019-10-21,5.98,6.16,5.82,5.93,3611600,5.93
2019-10-22,5.93,6.44,5.93,6.39,4174500,6.39
2019-10-23,6.33,6.62,6.23,6.43,4071400,6.43
2019-10-24,6.5,6.55,6.03,6.42,4268200,6.42
2019-10-25,6.32,6.43,6.25,6.35,2645400,6.35
2019-10-28,6.38,6.49,6.17,6.19,2854700,6.19
2019-10-29,6.21,6.25,5.79,5.81,3918800,5.81
2019-10-30,5.76,5.83,5.52,5.73,3739500,5.73
2019-10-31,5.63,5.69,5.31,5.44,4358600,5.44
2019-11-01,5.45,6,5.43,5.84,5210400,5.84
2019-11-04,5.9,6.02,5.77,5.85,3670000,5.85
2019-11-05,5.88,6.2,5.86,5.91,3374100,5.91
2019-11-06,5.9,6.19,5.82,6.09,4128300,6.09
2019-11-07,6.18,6.32,6.04,6.22,3129300,6.22
2019-11-08,6.17,6.28,6.05,6.09,1968700,6.09
2019-11-11,6.05,6.09,5.77,6.02,3109400,6.02
2019-11-12,6.03,6.07,5.87,5.92,1834500,5.92
2019-11-13,5.91,5.97,5.81,5.94,1533600,5.94
2019-11-14,5.95,6.11,5.9,5.98,1708700,5.98
2019-11-15,6,6.01,5.85,5.88,2165900,5.88
2019-11-18,5.85,5.85,5.61,5.62,2995900,5.62
2019-11-19,5.57,5.66,5.45,5.5,3360500,5.5
2019-11-20,5.54,5.54,5.36,5.46,2666700,5.46
2019-11-21,5.46,5.58,5.35,5.5,2784000,5.5
2019-11-22,5.59,5.85,5.5,5.66,3493100,5.66
2019-11-25,5.67,6.06,5.63,6.03,2744900,6.03
2019-11-26,6.03,6.26,6.01,6.1,2648700,6.1
2019-11-27,6.1,6.39,6.02,6.35,3030000,6.35
2019-11-29,6.33,6.39,6.24,6.34,1369000,6.34
2019-12-02,6.35,6.46,6.09,6.17,2060600,6.17
2019-12-03,6.04,6.18,5.93,6.12,2214900,6.12
2019-12-04,6.17,6.49,6.12,6.43,2872400,6.43
2019-12-05,6.32,6.52,6.24,6.4,4381400,6.4
2019-12-06,6.39,6.68,6.39,6.68,4757300,6.68
2019-12-09,6.65,6.92,6.19,6.33,6250600,6.33
2019-12-10,6.29,6.54,6.12,6.51,9594900,6.51
2019-12-11,5.25,5.81,5.18,5.53,19517800,5.53
2019-12-12,5.46,5.71,5.41,5.58,6387300,5.58
2019-12-13,5.47,5.62,5.24,5.45,5439000,5.45
2019-12-16,5.39,5.59,5.39,5.5,4406900,5.5
2019-12-17,5.5,6.08,5.49,6.06,4141400,6.06
2019-12-18,6.06,6.27,5.93,6.16,5264100,6.16
2019-12-19,6.21,6.24,6.03,6.06,4452000,6.06
2019-12-20,6.06,6.22,5.96,5.99,5484600,5.99
2019-12-23,6.05,6.07,5.54,5.61,6282700,5.61
2019-12-24,5.65,5.67,5.44,5.44,3395500,5.44
2019-12-26,5.47,5.51,5.25,5.4,4264400,5.4
2019-12-27,5.42,5.98,5.39,5.9,11041300,5.9
2019-12-30,5.88,6.25,5.76,6.13,4482100,6.13
2019-12-31,6.08,6.39,5.99,6.08,4322600,6.08
2020-01-02,6.14,6.47,6.07,6.31,4453600,6.31
2020-01-03,6.21,6.25,5.84,5.88,3543900,5.88
2020-01-06,5.8,5.91,5.6,5.85,3394800,5.85
2020-01-07,5.77,5.83,5.44,5.52,5228000,5.52
2020-01-08,5.49,5.85,5.41,5.72,5629400,5.72
2020-01-09,5.82,5.82,5.48,5.55,2643000,5.55
2020-01-10,5.56,5.6,5.38,5.43,2781400,5.43
2020-01-13,5.43,5.61,5.33,5.43,3625200,5.43
2020-01-14,4.78,5,4.53,4.71,12561900,4.71
2020-01-15,4.66,4.73,4.55,4.61,4981100,4.61
2020-01-16,4.61,4.71,4.52,4.62,4287100,4.62
2020-01-17,4.58,4.75,4.51,4.75,4019500,4.75
2020-01-21,4.75,4.75,4.55,4.59,3532100,4.59
2020-01-22,4.55,4.64,4.46,4.56,2627500,4.56
2020-01-23,4.55,4.64,4.46,4.62,1880200,4.62
2020-01-24,4.64,4.64,4.25,4.32,4163600,4.32
2020-01-27,4.2,4.35,4.16,4.28,2122500,4.28
2020-01-28,4.3,4.3,4.18,4.21,2144900,4.21
2020-01-29,4.22,4.32,4.13,4.13,1552600,4.13
2020-01-30,4.1,4.12,3.88,3.93,3006500,3.93
2020-01-31,3.91,3.94,3.83,3.84,2891700,3.84
2020-02-03,3.88,3.98,3.85,3.95,2026200,3.95
2020-02-04,4.03,4.25,3.97,4.07,3563100,4.07
2020-02-05,4.15,4.41,4.14,4.18,2641700,4.18
2020-02-06,4.2,4.3,4.14,4.14,1510300,4.14
2020-02-07,4.11,4.13,3.77,3.81,2742300,3.81
2020-02-10,3.85,4.1,3.74,3.94,2777000,3.94
2020-02-11,3.98,4.24,3.95,4.02,3415000,4.02
2020-02-12,4.13,4.51,4.07,4.19,4820600,4.19
2020-02-13,4.12,4.26,4.07,4.11,2081700,4.11
2020-02-14,4.11,4.19,4.02,4.02,1582700,4.02
2020-02-18,4.01,4.08,3.96,4.06,1467600,4.06
2020-02-19,4.06,4.27,3.92,4.15,2593100,4.15
2020-02-20,4.16,4.3,4.11,4.14,1562300,4.14
2020-02-21,4.12,4.18,3.99,4.04,1695700,4.04
2020-02-24,3.9,3.93,3.7,3.7,3566300,3.7
2020-02-25,3.77,3.79,3.55,3.56,4447900,3.56
2020-02-26,3.58,3.62,3.36,3.39,4724800,3.39
2020-02-27,3.23,3.63,3.18,3.47,3879500,3.47
2020-02-28,3.34,3.72,3.34,3.6,4692200,3.6
2020-03-02,3.6,3.85,3.39,3.83,3208400,3.83
2020-03-03,3.88,3.89,3.5,3.63,4282500,3.63
2020-03-04,3.71,3.83,3.46,3.77,4257600,3.77
2020-03-05,3.7,3.99,3.59,3.96,3599400,3.96
2020-03-06,3.84,4.07,3.76,3.92,2096800,3.92
2020-03-09,3.59,3.97,3.5,3.7,2732000,3.7
2020-03-10,3.94,4.26,3.8,4.23,4863200,4.23
2020-03-11,4.14,4.25,4,4.14,4414100,4.14
2020-03-12,3.7,4.04,3.48,3.98,5123400,3.98
2020-03-13,4.13,4.65,3.85,4.59,5787200,4.59
2020-03-16,3.93,4.57,3.9,4.37,4866700,4.37
2020-03-17,4.4,4.65,4.11,4.23,3562200,4.23
2020-03-18,4.1,4.25,3.5,3.77,3651700,3.77
2020-03-19,3.71,4.2,3.55,4.19,5039500,4.19
2020-03-20,4.08,4.08,3.65,3.76,7722200,3.76
2020-03-23,3.58,3.86,3.5,3.81,6009800,3.81
2020-03-24,3.95,4.21,3.89,4.16,6805600,4.16
2020-03-25,4.15,4.49,4.04,4.17,3592100,4.17
2020-03-26,4.24,4.71,4.24,4.41,6185700,4.41
2020-03-27,4.94,5.09,4.15,4.22,7024800,4.22
2020-03-30,4.22,4.27,3.65,3.65,3350600,3.65
2020-03-31,3.63,3.8,3.5,3.5,2300900,3.5
2020-04-01,3.45,3.49,3.12,3.25,4568700,3.25
2020-04-02,3.26,3.35,2.85,2.85,4064300,2.85
2020-04-03,2.85,2.94,2.57,2.8,3830400,2.8
2020-04-06,2.86,3.2,2.83,3.09,3340500,3.09
2020-04-07,3.39,3.44,3.1,3.27,2836900,3.27
2020-04-08,3.23,3.67,3.2,3.41,2884500,3.41
2020-04-09,3.6,4.25,3.49,3.89,5908600,3.89
2020-04-13,4.25,4.76,4.16,4.74,6844500,4.74
2020-04-14,5.21,6.47,5.14,5.95,13506600,5.95
2020-04-15,5.66,5.67,4.9,5.27,7499900,5.27
2020-04-16,5.12,5.44,4.88,5.03,3371900,5.03
2020-04-17,5.22,5.28,4.43,4.88,5653200,4.88
2020-04-20,4.85,5.9,4.78,5.61,6085000,5.61
2020-04-21,5.23,5.3,4.76,4.78,4142100,4.78
2020-04-22,5.14,5.17,4.83,4.89,2677800,4.89
2020-04-23,4.75,4.89,4.58,4.7,2265900,4.7
2020-04-24,4.78,4.85,4.66,4.77,2236200,4.77
2020-04-27,4.85,5.99,4.81,5.82,7275100,5.82
2020-04-28,5.92,6.04,5.06,5.64,5200200,5.64
2020-04-29,5.83,6.09,5.45,6.04,3369600,6.04
2020-04-30,5.87,5.98,5.64,5.73,2173300,5.73
2020-05-01,5.65,6.18,5.45,6.05,4005600,6.05
2020-05-04,5.84,5.93,5.4,5.48,4068100,5.48
2020-05-05,5.55,5.63,5.35,5.39,2105900,5.39
2020-05-06,5.4,5.4,4.9,4.93,3369600,4.93
2020-05-07,4.83,4.93,4.65,4.87,2500800,4.87
2020-05-08,4.88,5.19,4.82,4.98,2353700,4.98
2020-05-11,4.92,4.96,4.75,4.76,1699200,4.76
2020-05-12,4.78,4.92,4.46,4.54,2639200,4.54
2020-05-13,4.54,4.54,4.07,4.21,2882900,4.21
2020-05-14,4.15,4.19,3.96,4.13,2004900,4.13
2020-05-15,4.05,4.45,4.04,4.22,1940600,4.22
2020-05-18,4.4,4.63,4.36,4.58,2371700,4.58
2020-05-19,4.58,4.75,4.37,4.44,1840700,4.44
2020-05-20,4.5,4.69,4.34,4.43,2543600,4.43
2020-05-21,4.45,4.65,4.4,4.44,1971900,4.44
2020-05-22,4.46,4.49,4.13,4.18,2379900,4.18
2020-05-26,4.34,4.61,4.33,4.42,3545700,4.42
2020-05-27,4.57,4.71,4.36,4.69,3146600,4.69
2020-05-28,4.75,4.76,4.3,4.33,2183900,4.33
2020-05-29,4.33,4.42,4.05,4.06,3973500,4.06
2020-06-01,4.12,4.36,4.02,4.13,2611600,4.13
2020-06-02,4.27,4.31,4.06,4.18,2369400,4.18
2020-06-03,4.24,4.52,4.2,4.44,3037400,4.44
2020-06-04,4.44,4.72,4.37,4.47,3514300,4.47
2020-06-05,4.29,4.41,4.09,4.14,6274400,4.14
2020-06-08,4.28,5.14,4.27,5.01,10133700,5.01
2020-06-09,5,5,4.55,4.96,8073400,4.96
2020-06-10,4.78,5.53,4.68,5.07,10606400,5.07
2020-06-11,4.64,4.9,4.18,4.37,6236000,4.37
2020-06-12,4.6,4.78,4.39,4.72,4378200,4.72
2020-06-15,4.5,4.77,4.42,4.69,3909000,4.69
2020-06-16,4.95,4.95,4.51,4.64,3121300,4.64
2020-06-17,4.54,4.83,4.53,4.76,3593500,4.76
2020-06-18,4.67,4.95,4.65,4.95,3423800,4.95
2020-06-19,4.95,5.08,4.69,4.88,7366600,4.88
2020-06-22,4.79,4.95,4.72,4.87,3178900,4.87
2020-06-23,4.95,4.99,4.8,4.83,3205400,4.83
2020-06-24,4.83,4.84,4.38,4.41,2976200,4.41
2020-06-25,4.33,4.54,4.3,4.46,2450800,4.46
2020-06-26,4.48,4.5,4.27,4.35,3801200,4.35
2020-06-29,4.35,4.52,4.3,4.38,2131200,4.38
2020-06-30,4.33,4.51,4.2,4.34,3889000,4.34
2020-07-01,4.31,4.5,4.31,4.44,2303700,4.44
2020-07-02,4.49,4.51,4.29,4.29,1887600,4.29
2020-07-06,4.31,4.34,4.19,4.24,2140900,4.24
2020-07-07,4.2,4.25,4.06,4.09,2456600,4.09
2020-07-08,4.1,4.29,4.03,4.26,2052800,4.26
2020-07-09,4.27,4.32,4.13,4.21,1992600,4.21
2020-07-10,4.2,4.38,4.18,4.34,1410800,4.34
2020-07-13,4.35,4.55,4.26,4.26,4216200,4.26
2020-07-14,4.22,4.31,4.07,4.08,2261600,4.08
2020-07-15,4.13,4.29,4.13,4.19,1474100,4.19
2020-07-16,4.19,4.2,4.09,4.17,1330100,4.17
2020-07-17,4.16,4.23,3.94,3.96,3065900,3.96
2020-07-20,3.95,4.06,3.77,3.85,3401100,3.85
2020-07-21,3.9,4.09,3.88,4.01,3341000,4.01
2020-07-22,4.02,4.12,3.92,4.11,2523500,4.11
2020-07-23,4.09,4.31,4.06,4.11,3237200,4.11
2020-07-24,4.06,4.23,4.01,4.03,2215900,4.03
2020-07-27,4.02,4.12,3.95,4.01,2472700,4.01
2020-07-28,3.96,4.05,3.92,3.94,4555400,3.94
2020-07-29,3.94,4.18,3.92,4.06,2879600,4.06
2020-07-30,4,4.23,3.97,4.1,2398500,4.1
2020-07-31,4.06,4.16,3.99,4.01,1879400,4.01
2020-08-03,4.03,4.25,4,4.15,2517600,4.15
2020-08-04,4.13,4.74,4.13,4.43,10361400,4.43
2020-08-05,4.5,4.76,4.25,4.63,4925700,4.63
2020-08-06,4.6,4.66,4.38,4.43,1901200,4.43
2020-08-07,4.39,4.4,4.06,4.16,3341100,4.16
2020-08-10,4.2,4.57,4.18,4.33,4561800,4.33
2020-08-11,4.43,4.57,4.34,4.35,3138800,4.35
2020-08-12,4.4,4.63,4.36,4.52,3057600,4.52
2020-08-13,4.52,4.71,4.5,4.64,2128300,4.64
2020-08-14,4.6,4.83,4.55,4.75,3474400,4.75
2020-08-17,4.78,4.78,4.56,4.63,2371000,4.63
2020-08-18,4.61,4.87,4.43,4.81,3834400,4.81
2020-08-19,4.8,4.84,4.64,4.72,2612600,4.72
2020-08-20,4.62,4.68,4.51,4.61,2441200,4.61
2020-08-21,4.6,5.6,4.6,5.03,10642600,5.03
2020-08-24,5.1,5.13,4.56,4.87,4585400,4.87
2020-08-25,4.88,5.25,4.88,4.98,2998700,4.98
2020-08-26,4.97,5.22,4.92,5.11,2779700,5.11
2020-08-27,5.11,5.38,5.02,5.25,3384400,5.25
2020-08-28,5.3,5.57,5.22,5.39,4236900,5.39
2020-08-31,5.77,7.15,5.69,6.68,37976000,6.68
2020-09-01,7.3,7.82,6.77,7.65,23211000,7.65
2020-09-02,7.8,8.05,7.11,7.71,13011100,7.71
2020-09-03,7.88,8.45,7.24,7.82,14344500,7.82
2020-09-04,7.78,7.92,7.17,7.65,7662000,7.65
2020-09-08,7.55,8.28,7.48,7.7,9816600,7.7
2020-09-09,7.96,7.99,7.31,7.35,9068100,7.35
2020-09-10,6.65,6.95,6.19,6.23,15558300,6.23
2020-09-11,6.26,6.33,5.87,6.09,6061200,6.09
2020-09-14,6.8,7,6.43,6.91,10119000,6.91
2020-09-15,6.86,7.26,6.69,7.09,5743500,7.09
2020-09-16,7.03,9.04,7.03,8.68,19256300,8.68
2020-09-17,8.57,9.77,8.41,9.2,17026700,9.2
2020-09-18,9.2,9.77,8.91,9.47,17407500,9.47
2020-09-21,9.35,9.6,8.38,8.75,7639800,8.75
2020-09-22,10.45,11.17,9.9,10.56,34752500,10.56
2020-09-23,10.6,10.86,9.92,10.04,10651200,10.04
2020-09-24,9.71,9.81,9.01,9.14,7938800,9.14
2020-09-25,9.19,10.18,9.1,10.02,7515200,10.02
2020-09-28,10.16,10.26,9.55,10.09,6764300,10.09
2020-09-29,10,10.65,9.93,10.35,5237600,10.35
2020-09-30,10.25,10.76,10.06,10.2,6079000,10.2
2020-10-01,10.09,10.25,9.69,9.77,4554100,9.77
2020-10-02,9.38,9.78,9.3,9.39,4340500,9.39
2020-10-05,9.44,9.59,9.25,9.46,2805000,9.46
2020-10-06,9.56,9.84,9.1,9.13,4535400,9.13
2020-10-07,9.23,9.56,9.17,9.36,3308600,9.36
2020-10-08,9.54,13.64,9.19,13.49,76453600,13.49
2020-10-09,12.83,14.8,11.9,12.02,77152800,12.02
2020-10-12,11.66,12.77,11.4,11.8,23655700,11.8
2020-10-13,11.73,12.42,11.65,11.88,10179700,11.88
2020-10-14,12.67,12.68,12.05,12.25,10776800,12.25
2020-10-15,11.99,15.1,11.99,13.83,39894800,13.83
2020-10-16,13.77,13.9,13.08,13.31,11651600,13.31
2020-10-19,13.44,14.5,13.38,13.91,13169100,13.91
2020-10-20,14.03,14.14,13.67,13.86,6604000,13.86
2020-10-21,13.9,14.42,13.8,14.1,5361900,14.1
2020-10-22,14.2,15.87,14.19,14.91,16212200,14.91
2020-10-23,15.05,15.38,14.55,15,6507300,15
2020-10-26,14.93,15.45,13.26,13.45,13376300,13.45
2020-10-27,13.71,13.71,12.36,12.69,7231000,12.69
2020-10-28,12.27,13.05,11.78,11.82,6388600,11.82
2020-10-29,11.88,12.25,11.68,11.73,4165800,11.73
2020-10-30,11.64,11.64,10.36,10.47,11546900,10.47
2020-11-02,10.82,11.09,10.5,10.75,5227000,10.75
2020-11-03,10.75,11.86,10.63,11.57,7454500,11.57
2020-11-04,11.76,11.77,10.61,10.91,5807900,10.91
2020-11-05,11.27,11.84,11.06,11.45,4705200,11.45
2020-11-06,11.52,12.17,11.32,11.86,5518200,11.86
2020-11-09,12.76,12.93,11.25,11.49,6244900,11.49
2020-11-10,11.5,11.66,10.83,11.1,3826000,11.1
2020-11-11,11.5,11.95,11.21,11.75,4882600,11.75
2020-11-12,11.74,11.87,10.97,11.13,4353300,11.13
2020-11-13,11.36,11.55,11,11.01,3535900,11.01
2020-11-16,11.16,12.66,10.72,12.06,9774800,12.06
2020-11-17,11.65,11.92,11.23,11.63,6678200,11.63
2020-11-18,11.8,12.04,11.56,11.57,3169200,11.57
2020-11-19,11.6,12.79,11.45,12.46,11787600,12.46
2020-11-20,12.55,13.46,12.54,12.71,8395400,12.71
2020-11-23,12.9,14.12,12.67,13.9,9599100,13.9
2020-11-24,14.23,14.26,13.3,13.67,7183200,13.67
2020-11-25,13.6,15.25,13.42,14.75,8860100,14.75
2020-11-27,15.29,16.74,14.88,16.08,12504200,16.08
2020-11-30,18.17,19.42,16.559999,16.559999,31983500,16.559999
2020-12-01,17.110001,17.4,15.76,15.8,12666000,15.8
2020-12-02,15.7,16.68,15.38,16.58,7883400,16.58
2020-12-03,16.48,16.639999,15.87,16.120001,6295000,16.120001
2020-12-04,16.299999,17.290001,16.26,16.9,8972700,16.9
2020-12-07,17,17.5,16.219999,16.35,7386300,16.35
2020-12-08,16.370001,17.209999,15.93,16.940001,16120200,16.940001
2020-12-09,13.92,14.73,13.23,13.66,24357900,13.66
2020-12-10,13.12,14.41,13.05,14.12,7558900,14.12
2020-12-11,13.91,14,13.02,13.31,7496900,13.31
2020-12-14,13.34,13.43,12.14,12.72,10007100,12.72
2020-12-15,12.78,14.02,12.48,13.85,8192900,13.85
2020-12-16,13.96,14.31,13.58,13.85,5865100,13.85
2020-12-17,13.96,14.98,13.59,14.83,8194900,14.83
2020-12-18,15.78,16.299999,15.18,15.63,16618800,15.63
2020-12-21,15.81,16.35,15.28,15.53,9876100,15.53
2020-12-22,16.219999,20.040001,16.15,19.459999,30652700,19.459999
2020-12-23,20.17,22.35,19.129999,20.57,25830300,20.57
2020-12-24,21.01,21.48,19.950001,20.15,6262200,20.15
2020-12-28,21.309999,21.969999,20.35,20.99,8965900,20.99
2020-12-29,20.82,21.07,18.559999,19.379999,9241400,19.379999
2020-12-30,19.379999,20,18.85,19.26,5934400,19.26
2020-12-31,19.25,19.799999,18.799999,18.84,6918900,18.84
2021-01-04,19,19.1,17.15,17.25,10022500,17.25
2021-01-05,17.35,18.08,17.23,17.370001,4961500,17.370001
2021-01-06,17.34,18.98,17.33,18.360001,6056200,18.360001
2021-01-07,18.469999,19.450001,18.02,18.08,6129300,18.08
2021-01-08,18.18,18.299999,17.08,17.690001,6464500,17.690001
2021-01-11,19.41,20.65,19.01,19.940001,14927600,19.940001
2021-01-12,19.959999,20.4,19.32,19.950001,7060700,19.950001
2021-01-13,20.42,38.650002,20.030001,31.4,144501700,31.4
2021-01-14,38.09,43.060001,33.049999,39.91,93717400,39.91
2021-01-15,38.490002,40.75,34.009998,35.5,46752200,35.5
2021-01-19,41.549999,45.52,36.639999,39.360001,74721900,39.360001
2021-01-20,37.369999,41.189999,36.060001,39.119999,33471800,39.119999
2021-01-21,39.23,44.75,37,43.029999,57079800,43.029999
2021-01-22,42.59,76.760002,42.32,65.010002,196784300,65.010002
2021-01-25,96.730003,159.179993,61.130001,76.790001,177874000,76.790001
2021-01-26,88.559998,150,80.199997,147.979996,178588000,147.979996
2021-01-27,354.829987,380,249,347.51001,93396700,347.51001
2021-01-28,265,483,112.25,193.600006,58815800,193.600006
2021-01-29,379.709991,413.980011,250,325,50259200,325
2021-02-01,316.559998,322,212,225,37382200,225
2021-02-02,140.759995,158,74.220001,90,78183100,90
